1/6/2024 12:04:43AM | TEMP | 25 | 1/6/2024 12:04:42AM
1/6/2024 12:04:44AM | TEMP | 20 | 1/6/2024 12:04:43AM
1/6/2024 12:04:45AM | TEMP | 24 | 1/6/2024 12:04:44AM
1/6/2024 12:04:46AM | TEMP | 25 | 1/6/2024 12:04:45AM
1/6/2024 12:04:47AM | TEMP | 29 | 1/6/2024 12:04:46AM
1/6/2024 12:04:48AM | TEMP | 20 | 1/6/2024 12:04:47AM
1/6/2024 12:04:49AM | TEMP | 21 | 1/6/2024 12:04:48AM
1/6/2024 12:04:50AM | TEMP | 23 | 1/6/2024 12:04:49AM
1/6/2024 12:04:51AM | TEMP | 24 | 1/6/2024 12:04:50AM
1/6/2024 12:04:52AM | TEMP | 26 | 1/6/2024 12:04:51AM
1/6/2024 12:04:53AM | TEMP | 24 | 1/6/2024 12:04:52AM
1/6/2024 12:04:54AM | TEMP | 24 | 1/6/2024 12:04:53AM
1/6/2024 12:04:55AM | TEMP | 25 | 1/6/2024 12:04:54AM
1/6/2024 12:04:56AM | TEMP | 23 | 1/6/2024 12:04:55AM
1/6/2024 12:04:57AM | TEMP | 20 | 1/6/2024 12:04:56AM
1/6/2024 12:04:58AM | TEMP | 21 | 1/6/2024 12:04:57AM
1/6/2024 12:04:59AM | TEMP | 29 | 1/6/2024 12:04:58AM
1/6/2024 12:05:00AM | TEMP | 29 | 1/6/2024 12:04:59AM
1/6/2024 12:05:01AM | TEMP | 21 | 1/6/2024 12:05:00AM
1/6/2024 12:05:02AM | TEMP | 21 | 1/6/2024 12:05:01AM
1/6/2024 12:05:03AM | TEMP | 24 | 1/6/2024 12:05:02AM
1/6/2024 12:05:04AM | TEMP | 21 | 1/6/2024 12:05:03AM
1/6/2024 12:05:05AM | TEMP | 27 | 1/6/2024 12:05:04AM
1/6/2024 12:05:06AM | TEMP | 23 | 1/6/2024 12:05:05AM
1/6/2024 12:05:07AM | TEMP | 23 | 1/6/2024 12:05:06AM
1/6/2024 12:05:08AM | TEMP | 28 | 1/6/2024 12:05:07AM
1/6/2024 12:05:09AM | TEMP | 24 | 1/6/2024 12:05:08AM
1/6/2024 12:05:10AM | TEMP | 25 | 1/6/2024 12:05:09AM
1/6/2024 12:05:11AM | TEMP | 28 | 1/6/2024 12:05:10AM
1/6/2024 12:05:12AM | TEMP | 26 | 1/6/2024 12:05:11AM
1/6/2024 12:05:13AM | TEMP | 29 | 1/6/2024 12:05:12AM
1/6/2024 12:05:14AM | TEMP | 27 | 1/6/2024 12:05:13AM
1/6/2024 12:05:15AM | TEMP | 23 | 1/6/2024 12:05:14AM
1/6/2024 12:05:16AM | TEMP | 27 | 1/6/2024 12:05:15AM
1/6/2024 12:05:17AM | TEMP | 27 | 1/6/2024 12:05:16AM
1/6/2024 12:05:18AM | TEMP | 29 | 1/6/2024 12:05:17AM
1/6/2024 12:05:19AM | TEMP | 29 | 1/6/2024 12:05:18AM
1/6/2024 12:05:20AM | TEMP | 21 | 1/6/2024 12:05:19AM
1/6/2024 12:05:21AM | TEMP | 29 | 1/6/2024 12:05:20AM
1/6/2024 12:05:22AM | TEMP | 22 | 1/6/2024 12:05:21AM
1/6/2024 12:05:23AM | TEMP | 21 | 1/6/2024 12:05:22AM
1/6/2024 12:05:24AM | TEMP | 21 | 1/6/2024 12:05:23AM
1/6/2024 12:05:25AM | TEMP | 28 | 1/6/2024 12:05:24AM
1/6/2024 12:05:26AM | TEMP | 22 | 1/6/2024 12:05:25AM
1/6/2024 12:05:27AM | TEMP | 23 | 1/6/2024 12:05:26AM
1/6/2024 12:05:28AM | TEMP | 22 | 1/6/2024 12:05:27AM
1/6/2024 12:05:29AM | TEMP | 29 | 1/6/2024 12:05:28AM
1/6/2024 12:05:30AM | TEMP | 28 | 1/6/2024 12:05:29AM
1/6/2024 12:05:31AM | TEMP | 21 | 1/6/2024 12:05:30AM
1/6/2024 12:05:32AM | TEMP | 20 | 1/6/2024 12:05:31AM
1/6/2024 12:05:33AM | TEMP | 29 | 1/6/2024 12:05:32AM
1/6/2024 12:05:34AM | TEMP | 26 | 1/6/2024 12:05:33AM
1/6/2024 12:05:35AM | TEMP | 29 | 1/6/2024 12:05:34AM
1/6/2024 12:05:36AM | TEMP | 24 | 1/6/2024 12:05:35AM
1/6/2024 12:05:37AM | TEMP | 25 | 1/6/2024 12:05:36AM
1/6/2024 12:05:38AM | TEMP | 26 | 1/6/2024 12:05:37AM
1/6/2024 12:05:39AM | TEMP | 28 | 1/6/2024 12:05:38AM
1/6/2024 12:05:40AM | TEMP | 20 | 1/6/2024 12:05:39AM
1/6/2024 12:05:41AM | TEMP | 21 | 1/6/2024 12:05:40AM
1/6/2024 12:05:42AM | TEMP | 24 | 1/6/2024 12:05:41AM
1/6/2024 12:05:43AM | TEMP | 20 | 1/6/2024 12:05:42AM
1/6/2024 12:05:44AM | TEMP | 22 | 1/6/2024 12:05:43AM
1/6/2024 12:05:45AM | TEMP | 27 | 1/6/2024 12:05:44AM
1/6/2024 12:05:46AM | TEMP | 25 | 1/6/2024 12:05:45AM
1/6/2024 12:05:47AM | TEMP | 29 | 1/6/2024 12:05:46AM
1/6/2024 12:05:48AM | TEMP | 20 | 1/6/2024 12:05:47AM
1/6/2024 12:05:49AM | TEMP | 21 | 1/6/2024 12:05:48AM
1/6/2024 12:05:50AM | TEMP | 22 | 1/6/2024 12:05:49AM
1/6/2024 12:05:51AM | TEMP | 21 | 1/6/2024 12:05:50AM
1/6/2024 12:05:52AM | TEMP | 22 | 1/6/2024 12:05:51AM
1/6/2024 12:05:53AM | TEMP | 20 | 1/6/2024 12:05:52AM
1/6/2024 12:05:54AM | TEMP | 20 | 1/6/2024 12:05:53AM
1/6/2024 12:05:55AM | TEMP | 24 | 1/6/2024 12:05:54AM
1/6/2024 12:05:56AM | TEMP | 22 | 1/6/2024 12:05:55AM
